'id';'servings';'type';'log_date';'food';'user_id';'mood';'weight';'protein';'cals';'fat';'carbs'
'34502';'2';'breakfast';'2017-05-10 00:00:00.000000';'KELLOGG\'S,EGGO,WAFFLES,HOMESTYLE';'1';'grumpy';'228';'7';'278';'11';'40'
'34503';'2';'dinner';'2017-05-10 00:00:00.000000';'BEEF,RND,TOP RND STEAK,BNLESS,LN,0 FAT,ALL GRDS,RAW';'1';'grumpy';'228';'24';'121';'3';'0'
'34504';'1';'breakfast_drink';'2017-05-10 00:00:00.000000';'BEVERAGES,COFFEE,READY TO DRK,VANILLA,LT,MILK BSD,SWTND';'1';'ambivalent';'228';'2';'36';'1';'4'
'34505';'3';'lunch';'2017-05-10 00:00:00.000000';'MCDONALD\'S,MCCHICKEN SNDWCH (WITHOUT MAYONNAISE)';'1';'sleepy';'228';'11';'240';'8';'31'
'34506';'2';'lunch_drink';'2017-05-10 00:00:00.000000';'BEVERAGES,CARB,GRAPE SODA';'1';'motivated';'228';'0';'43';'0';'11'
'34507';'2';'dinner_drink';'2017-05-10 00:00:00.000000';'BEVERAGES,NUTRITIONAL SHAKE MIX,HI PROT,PDR';'1';'grumpy';'228';'54';'392';'11';'20'
'34508';'2';'snack';'2017-05-10 00:00:00.000000';'SNACKS,POPCORN,AIR-POPPED (UNSALTED)';'1';'agitated';'228';'12';'382';'4';'78'
'34509';'2';'breakfast';'2017-05-11 00:00:00.000000';'WAFFLE,BTTRMLK,FRZ,RTH,MICROWAVED';'1';'motivated';'224';'7';'289';'9';'44'
'34510';'2';'dinner';'2017-05-11 00:00:00.000000';'BEEF,LOIN,TENDERLOIN STEAK,BNLESS,LN,0 FAT,ALL GRDS,RAW';'1';'sleepy';'224';'22';'139';'6';'0'
'34511';'1';'breakfast_drink';'2017-05-11 00:00:00.000000';'BEVERAGES,STRAWBERRY-FLAVOR BEV MIX,PDR,PREP W/ WHL MILK';'1';'ambivalent';'224';'3';'88';'3';'12'
'34512';'3';'lunch';'2017-05-11 00:00:00.000000';'MCDONALD\'S,MCCHICKEN SNDWCH';'1';'agitated';'224';'10';'273';'13';'28'
'34513';'3';'lunch_drink';'2017-05-11 00:00:00.000000';'BEVERAGES,CARB,GINGER ALE';'1';'amorous';'224';'0';'34';'0';'9'
'34514';'2';'dinner_drink';'2017-05-11 00:00:00.000000';'BEVERAGES,KELLOGG\'S,SPL K PROT SHAKE';'1';'grumpy';'224';'3';'64';'2';'9'
'34515';'2';'snack';'2017-05-11 00:00:00.000000';'CANDIES,REESE\'S PIECES CANDY';'1';'sleepy';'224';'12';'497';'25';'60'
'34516';'2';'breakfast';'2017-05-12 00:00:00.000000';'KELLOGG\'S,EGGO,WAFFLES,HOMESTYLE';'1';'motivated';'220';'7';'278';'11';'40'
'34517';'2';'dinner';'2017-05-12 00:00:00.000000';'BEEF,LOIN,TENDERLOIN STEAK,BNLESS,LN,0 FAT,ALL GRDS,RAW';'1';'sleepy';'220';'22';'139';'6';'0'
'34518';'3';'breakfast_drink';'2017-05-12 00:00:00.000000';'BEVERAGES,ALMOND MILK,UNSWTND,SHELF STABLE';'1';'ambivalent';'220';'1';'15';'1';'1'
'34519';'1';'lunch';'2017-05-12 00:00:00.000000';'MCDONALD\'S,PREMIUM CRISPY CHICK RANCH BLT SNDWCH';'1';'sleepy';'220';'15';'244';'10';'25'
'34520';'1';'lunch_drink';'2017-05-12 00:00:00.000000';'BEVERAGES,CARB,GRAPE SODA';'1';'agitated';'220';'0';'43';'0';'11'
'34521';'1';'dinner_drink';'2017-05-12 00:00:00.000000';'BEVERAGES,ABBOTT,EAS WHEY PROT PDR';'1';'amorous';'220';'67';'385';'5';'18'
'34522';'1';'snack';'2017-05-12 00:00:00.000000';'SNACKS,POPCORN,MICROWAVE,REG (BUTTER) FLAVOR, W/PARHYD OIL';'1';'agitated';'220';'8';'557';'34';'55'
'34523';'3';'breakfast';'2017-05-13 00:00:00.000000';'KELLOGG\'S,EGGO,WAFFLES,CHOC CHIP';'1';'grumpy';'210';'6';'291';'10';'45'
'34524';'1';'dinner';'2017-05-13 00:00:00.000000';'BEEF,RND,TOP RND STEAK,BNLESS,LN,0 FAT,ALL GRDS,RAW';'1';'grumpy';'210';'24';'121';'3';'0'
'34525';'3';'breakfast_drink';'2017-05-13 00:00:00.000000';'BEVERAGES,COFFEE,READY TO DRK,VANILLA,LT,MILK BSD,SWTND';'1';'motivated';'210';'2';'36';'1';'4'
'34526';'1';'lunch';'2017-05-13 00:00:00.000000';'MCDONALD\'S,MCCHICKEN SNDWCH (WITHOUT MAYONNAISE)';'1';'agitated';'210';'11';'240';'8';'31'
'34527';'2';'lunch_drink';'2017-05-13 00:00:00.000000';'BEVERAGES,CARB,GRAPE SODA';'1';'sleepy';'210';'0';'43';'0';'11'
'34528';'1';'dinner_drink';'2017-05-13 00:00:00.000000';'BEVERAGES,EGGNOG-FLAVOR MIX,PDR,PREP W/ WHL MILK';'1';'amorous';'210';'3';'95';'3';'14'
'34529';'2';'snack';'2017-05-13 00:00:00.000000';'SNACKS,POPCORN,OIL-POPPED,MICROWAVE,REG FLAVOR,NO TRANS FAT';'1';'sleepy';'210';'7';'583';'44';'45'
'34530';'2';'breakfast';'2017-05-14 00:00:00.000000';'KELLOGG\'S,EGGO,WAFFLES,CHOC CHIP';'1';'grumpy';'212';'6';'291';'10';'45'
'34531';'2';'dinner';'2017-05-14 00:00:00.000000';'BEEF,RND,TOP RND STEAK,BNLESS,LN,0 FAT,ALL GRDS,RAW';'1';'amorous';'212';'24';'121';'3';'0'
'34532';'2';'breakfast_drink';'2017-05-14 00:00:00.000000';'BEVERAGES,CYTOSPORT,MUSCLE MILK,RTD';'1';'agitated';'212';'6';'49';'2';'2'
'34533';'3';'lunch';'2017-05-14 00:00:00.000000';'MCDONALD\'S,BIG MAC';'1';'agitated';'212';'12';'257';'15';'20'
'34534';'1';'lunch_drink';'2017-05-14 00:00:00.000000';'BEVERAGES,CARB,PEPPER-TYPE,CONTAINS CAFFEINE';'1';'amorous';'212';'0';'41';'0';'10'
'34535';'2';'dinner_drink';'2017-05-14 00:00:00.000000';'BEVERAGES,SLIMFAST,MEAL REPLCMNT,HI PROT SHAKE,RTD,3-2-1';'1';'amorous';'212';'7';'58';'3';'1'
'34536';'3';'snack';'2017-05-14 00:00:00.000000';'CANDIES,REESE\'S FAST BREAK,CANDY BAR';'1';'agitated';'212';'9';'495';'23';'64'
'34537';'3';'breakfast';'2017-05-15 00:00:00.000000';'PANCAKES,PLN,LOFAT,DRY MIX,INCOMPLETE (INCLUDES BUTTERMILK)';'1';'agitated';'210';'7';'384';'6';'75'
'34538';'2';'dinner';'2017-05-15 00:00:00.000000';'BEEF,CHUCK,MOCK TENDER STEAK,BNLESS,LN,0 FAT,ALL GRDS,RAW';'1';'ambivalent';'210';'21';'123';'4';'0'
'34539';'3';'breakfast_drink';'2017-05-15 00:00:00.000000';'BEVERAGES,COFFEE,READY TO DRK,VANILLA,LT,MILK BSD,SWTND';'1';'ambivalent';'210';'2';'36';'1';'4'
'34540';'2';'lunch';'2017-05-15 00:00:00.000000';'BURGER KING,DOUBLE WHOPPER,NO CHS';'1';'grumpy';'210';'14';'252';'16';'14'
'34541';'2';'lunch_drink';'2017-05-15 00:00:00.000000';'BEVERAGES,CARB,COLA,FAST-FOOD COLA';'1';'motivated';'210';'0';'37';'0';'10'
'34542';'2';'dinner_drink';'2017-05-15 00:00:00.000000';'BEVERAGES,PROT PDR SOY BSD';'1';'sleepy';'210';'56';'388';'6';'29'
'34543';'2';'snack';'2017-05-15 00:00:00.000000';'CANDIES,HERSHEY,REESESTICKS CRISPY WAFERS,PNUT BUT,MILK CHOC';'1';'amorous';'210';'10';'521';'31';'55'
'34544';'3';'breakfast';'2017-05-16 00:00:00.000000';'KELLOGG\'S,EGGO,WAFFLES,CHOC CHIP';'1';'sleepy';'213';'6';'291';'10';'45'
'34545';'2';'dinner';'2017-05-16 00:00:00.000000';'BEEF,RIB EYE STEAK/ROAST,BONE-IN,LIP-ON,LN,1/8 FAT,SEL,RAW';'1';'agitated';'213';'22';'155';'8';'0'
'34546';'2';'breakfast_drink';'2017-05-16 00:00:00.000000';'BEVERAGES,ALMOND MILK,UNSWTND,SHELF STABLE';'1';'agitated';'213';'1';'15';'1';'1'
'34547';'1';'lunch';'2017-05-16 00:00:00.000000';'MCDONALD\'S,PREMIUM CRISPY CHICK RANCH BLT SNDWCH';'1';'agitated';'213';'15';'244';'10';'25'
'34548';'2';'lunch_drink';'2017-05-16 00:00:00.000000';'BEVERAGES,CARB,ORANGE';'1';'ambivalent';'213';'0';'48';'0';'12'
'34549';'1';'dinner_drink';'2017-05-16 00:00:00.000000';'BEVERAGES,ABBOTT,EAS SOY PROT PDR';'1';'ambivalent';'213';'48';'405';'4';'44'
